name,year,sust_winds_mph,pressure_hpa,category
Anna,1965,105.0,976.0,2
Elena,1965,110.0,977.0,2
Chloe,1967,110.0,958.0,2
Kara,1969,105.0,978.0,2
Laurie,1969,105.0,973.0,2
Eighteen,1970,105.0,974.0,2
Ginger,1971,110.0,959.0,2
Betty,1972,105.0,976.0,2
Fifi,1974,110.0,971.0,2
Doris,1975,110.0,965.0,2
Faye,1975,105.0,977.0,2
Emmy,1976,105.0,974.0,2
Gloria,1976,105.0,970.0,2
Flossie,1978,100.0,976.0,2
Gloria,1979,100.0,975.0,2
Bonnie,1980,100.0,975.0,2
Ivan,1980,105.0,970.0,2
Jeanne,1980,100.0,986.0,2
Gert,1981,105.0,988.0,2
Josephine,1984,105.0,965.0,2
Earl,1986,105.0,979.0,2
Dean,1989,105.0,968.0,2
Erin,1989,105.0,968.0,2
Diana,1990,100.0,980.0,2
Isidore,1990,100.0,978.0,2
Grace,1991,105.0,980.0,2
Bonnie,1992,110.0,965.0,2
Charley,1992,110.0,965.0,2
Gert,1993,100.0,970.0,2
Florence,1994,110.0,972.0,2
Erin,1995,100.0,973.0,2
Humberto,1995,110.0,968.0,2
Iris,1995,110.0,965.0,2
Danielle,1998,105.0,960.0,2
Earl,1998,100.0,985.0,2
Jeanne,1998,105.0,969.0,2
Karl,1998,105.0,970.0,2
Dennis,1999,105.0,962.0,2
Irene,1999,110.0,958.0,2
Jose,1999,100.0,979.0,2
Michael,2000,110.0,965.0,2
Humberto,2001,105.0,970.0,2
Gustav,2002,100.0,960.0,2
Juan,2003,110.0,969.0,2
Danielle,2004,110.0,964.0,2
Irene,2005,105.0,970.0,2
Dolly,2008,100.0,963.0,2
Ida,2009,105.0,975.0,2
Alex,2010,110.0,946.0,2
Paula,2010,105.0,981.0,2
Richard,2010,100.0,977.0,2
Tomas,2010,100.0,982.0,2
Ernesto,2012,100.0,973.0,2
Gordon,2012,110.0,965.0,2
Kirk,2012,105.0,970.0,2
Arthur,2014,100.0,973.0,2
Gert,2017,110.0,962.0,2
Katia,2017,105.0,972.0,2
Chris,2018,105.0,969.0,2
Helene,2018,110.0,967.0,2
Oscar,2018,110.0,966.0,2
Jerry,2019,105.0,976.0,2
Paulette,2020,105.0,965.0,2
Sally,2020,105.0,965.0,2
Zeta,2020,110.0,970.0,2
San Agapito,1851,115.0,960.0,3
Mobile,1852,115.0,961.0,3
Unnamed,1853,115.0,,3
Coastal,1854,125.0,938.0,3
Middle Gulf Coast,1855,125.0,950.0,3
Southeastern,1856,115.0,969.0,3
Unnamed,1859,125.0,938.0,3
San Narciso,1867,125.0,952.0,3
New England,1869,115.0,950.0,3
Unnamed,1870,125.0,948.0,3
San Marcos,1870,115.0,959.0,3
Unnamed,1871,115.0,952.0,3
Santa Juana,1871,115.0,962.0,3
Nova Scotia,1873,115.0,962.0,3
Central Florida,1873,115.0,959.0,3
Indianola,1875,115.0,955.0,3
San Felipe,1876,115.0,980.0,3
Unnamed,1876,115.0,958.0,3
Unnamed,1877,115.0,960.0,3
Unnamed,1878,115.0,951.0,3
Unnamed,1879,115.0,971.0,3
Unnamed,1879,125.0,950.0,3
Unnamed,1882,125.0,949.0,3
Unnamed,1883,125.0,948.0,3
Unnamed,1883,125.0,955.0,3
Unnamed,1884,125.0,957.0,3
Unnamed,1886,120.0,977.0,3
Unnamed,1886,115.0,962.0,3
Unnamed,1886,120.0,955.0,3
Unnamed,1887,120.0,967.0,3
Unnamed,1887,120.0,967.0,3
Unnamed,1888,125.0,967.0,3
Unnamed,1888,125.0,972.0,3
Unnamed,1890,120.0,965.0,3
San Magín,1891,125.0,961.0,3
San Roque,1893,120.0,986.0,3
Midnight Storm,1893,115.0,952.0,3
Sea Islands,1893,120.0,954.0,3
Unnamed,1893,120.0,955.0,3
Unnamed,1894,115.0,948.0,3
Unnamed,1894,120.0,985.0,3
Unnamed,1894,120.0,955.0,3
San Ramón,1896,115.0,956.0,3
Cedar Keys,1896,125.0,960.0,3
Unnamed,1896,115.0,956.0,3
Unnamed,1900,120.0,,3
Unnamed,1903,120.0,958.0,3
Unnamed,1905,120.0,,3
Unnamed,1906,120.0,953.0,3
Unnamed,1906,120.0,953.0,3
Unnamed,1908,120.0,,3
